File_Name,File_Description,Standard,Start_Date,End_Date,Missing_Value_Codes,File_Path
CRC_UP_2022_soil-salinity-10cm_L2_v2-1.parquet,Year 2022 sensor data for UP plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_UP_2022_soil-salinity-10cm_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-UP,,2022-01-01,2022-12-31,,CRC_2022
CRC_UP_2022_soil-salinity-30cm_L2_v2-1.parquet,Year 2022 sensor data for UP plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_UP_2022_soil-salinity-30cm_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-UP,,2022-01-01,2022-12-31,,CRC_2022
CRC_UP_2022_soil-temp-10cm_L2_v2-1.parquet,Year 2022 sensor data for UP plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_UP_2022_soil-temp-10cm_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-UP,,2022-01-01,2022-12-31,,CRC_2022
CRC_UP_2022_soil-temp-30cm_L2_v2-1.parquet,Year 2022 sensor data for UP plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_UP_2022_soil-temp-30cm_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-UP,,2022-01-01,2022-12-31,,CRC_2022
CRC_UP_2022_soil-vwc-10cm_L2_v2-1.parquet,Year 2022 sensor data for UP plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_UP_2022_soil-vwc-10cm_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-UP,,2022-01-01,2022-12-31,,CRC_2022
CRC_UP_2022_soil-vwc-30cm_L2_v2-1.parquet,Year 2022 sensor data for UP plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_UP_2022_soil-vwc-30cm_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-UP,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_battery-voltage_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_battery-voltage_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-act-cond_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-act-cond_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-bar-pressure_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-bar-pressure_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-battery_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-battery_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-density_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-density_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-depth_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-depth_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-part-pressure_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-part-pressure_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-perc-sat_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-perc-sat_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-ph_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-ph_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-ph-mv_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-ph-mv_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-ph-orp_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-ph-orp_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-pressure-vented_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-pressure-vented_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-rdo-conc_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_W_2022_gw-rdo-conc_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-W,,2022-01-01,2022-12-31,,CRC_2022
CRC_W_2022_gw-resistivity_L2_v2-1.parquet,Year 2022 sensor data for W plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
