          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.4989e+00	  5.4620e-03	  4.0721e-04	  7.5281e-03	  1.6758e-03	  2.1293e-05	  1.3767e-02	  1.0407e-03	  5.1583e-04	  4.7405e-04	  4.5119e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9456e-01	  5.8355e-02	  0.0000e+00	
  6.4971e+00	  5.4810e-03	  4.0825e-04	  7.5695e-03	  1.6851e-03	  2.1360e-05	  1.3881e-02	  1.0530e-03	  5.1707e-04	  4.8033e-04	  4.5401e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9461e-01	  5.8281e-02	  0.0000e+00	
  6.4952e+00	  5.4993e-03	  4.0926e-04	  7.6094e-03	  1.6940e-03	  2.1425e-05	  1.3992e-02	  1.0648e-03	  5.1827e-04	  4.8639e-04	  4.5672e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9466e-01	  5.8210e-02	  0.0000e+00	
  6.4935e+00	  5.5169e-03	  4.1023e-04	  7.6480e-03	  1.7027e-03	  2.1487e-05	  1.4099e-02	  1.0762e-03	  5.1942e-04	  4.9223e-04	  4.5934e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9470e-01	  5.8142e-02	  0.0000e+00	
  6.4918e+00	  5.5340e-03	  4.1116e-04	  7.6852e-03	  1.7110e-03	  2.1548e-05	  1.4202e-02	  1.0871e-03	  5.2053e-04	  4.9787e-04	  4.6186e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9475e-01	  5.8076e-02	  0.0000e+00	
  6.4902e+00	  5.5504e-03	  4.1206e-04	  7.7211e-03	  1.7191e-03	  2.1607e-05	  1.4301e-02	  1.0977e-03	  5.2160e-04	  5.0331e-04	  4.6429e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9479e-01	  5.8013e-02	  0.0000e+00	
  6.4886e+00	  5.5663e-03	  4.1293e-04	  7.7558e-03	  1.7269e-03	  2.1664e-05	  1.4397e-02	  1.1079e-03	  5.2262e-04	  5.0855e-04	  4.6664e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9483e-01	  5.7952e-02	  0.0000e+00	
  6.4871e+00	  5.5816e-03	  4.1376e-04	  7.7893e-03	  1.7344e-03	  2.1719e-05	  1.4489e-02	  1.1177e-03	  5.2361e-04	  5.1361e-04	  4.6890e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9486e-01	  5.7893e-02	  0.0000e+00	
  6.4857e+00	  5.5964e-03	  4.1457e-04	  7.8216e-03	  1.7416e-03	  2.1773e-05	  1.4579e-02	  1.1272e-03	  5.2457e-04	  5.1849e-04	  4.7108e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9490e-01	  5.7837e-02	  0.0000e+00	
  6.4843e+00	  5.6107e-03	  4.1534e-04	  7.8529e-03	  1.7486e-03	  2.1824e-05	  1.4665e-02	  1.1363e-03	  5.2549e-04	  5.2320e-04	  4.7318e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9494e-01	  5.7783e-02	  0.0000e+00	
  6.4829e+00	  5.6244e-03	  4.1609e-04	  7.8830e-03	  1.7554e-03	  2.1875e-05	  1.4748e-02	  1.1451e-03	  5.2637e-04	  5.2774e-04	  4.7521e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9497e-01	  5.7731e-02	  0.0000e+00	
