          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  7.6622e+00	  6.8385e-03	  4.2974e-04	  8.3834e-03	  1.8361e-03	  2.5691e-07	  1.6381e-02	  1.3052e-03	  5.4211e-04	  5.1856e-04	  5.1936e+03	  6.8350e-02	  1.1580e-01	  4.7987e-03	
  7.6644e+00	  6.8855e-03	  4.3121e-04	  8.4389e-03	  1.8485e-03	  2.5397e-07	  1.6554e-02	  1.3233e-03	  5.4370e-04	  5.1376e-04	  5.2347e+03	  6.9214e-02	  1.1537e-01	  5.2825e-03	
  7.6666e+00	  6.9309e-03	  4.3262e-04	  8.4925e-03	  1.8606e-03	  2.5110e-07	  1.6721e-02	  1.3407e-03	  5.4523e-04	  5.0908e-04	  5.2744e+03	  7.0034e-02	  1.1496e-01	  5.7517e-03	
  7.6688e+00	  6.9748e-03	  4.3398e-04	  8.5441e-03	  1.8722e-03	  2.4830e-07	  1.6882e-02	  1.3575e-03	  5.4671e-04	  5.0452e-04	  5.3126e+03	  7.0811e-02	  1.1457e-01	  6.2064e-03	
  7.6710e+00	  7.0173e-03	  4.3528e-04	  8.5940e-03	  1.8834e-03	  2.4559e-07	  1.7037e-02	  1.3736e-03	  5.4813e-04	  5.0008e-04	  5.3495e+03	  7.1549e-02	  1.1420e-01	  6.6471e-03	
  7.6732e+00	  7.0583e-03	  4.3654e-04	  8.6420e-03	  1.8942e-03	  2.4294e-07	  1.7186e-02	  1.3892e-03	  5.4950e-04	  4.9576e-04	  5.3850e+03	  7.2249e-02	  1.1385e-01	  7.0739e-03	
  7.6754e+00	  7.0980e-03	  4.3776e-04	  8.6884e-03	  1.9047e-03	  2.4038e-07	  1.7331e-02	  1.4042e-03	  5.5081e-04	  4.9156e-04	  5.4192e+03	  7.2914e-02	  1.1352e-01	  7.4874e-03	
  7.6776e+00	  7.1363e-03	  4.3892e-04	  8.7331e-03	  1.9148e-03	  2.3789e-07	  1.7470e-02	  1.4187e-03	  5.5208e-04	  4.8748e-04	  5.4522e+03	  7.3545e-02	  1.1320e-01	  7.8877e-03	
  7.6798e+00	  7.1734e-03	  4.4005e-04	  8.7763e-03	  1.9245e-03	  2.3548e-07	  1.7604e-02	  1.4327e-03	  5.5331e-04	  4.8352e-04	  5.4840e+03	  7.4146e-02	  1.1290e-01	  8.2753e-03	
  7.6819e+00	  7.2092e-03	  4.4114e-04	  8.8179e-03	  1.9339e-03	  2.3314e-07	  1.7734e-02	  1.4462e-03	  5.5449e-04	  4.7967e-04	  5.5147e+03	  7.4717e-02	  1.1262e-01	  8.6504e-03	
  7.6840e+00	  7.2438e-03	  4.4218e-04	  8.8580e-03	  1.9429e-03	  2.3087e-07	  1.7859e-02	  1.4591e-03	  5.5563e-04	  4.7593e-04	  5.5443e+03	  7.5259e-02	  1.1235e-01	  9.0134e-03	
  7.6861e+00	  7.2773e-03	  4.4319e-04	  8.8968e-03	  1.9516e-03	  2.2868e-07	  1.7979e-02	  1.4717e-03	  5.5672e-04	  4.7231e-04	  5.5729e+03	  7.5776e-02	  1.1209e-01	  9.3647e-03	
  7.6882e+00	  7.3096e-03	  4.4416e-04	  8.9341e-03	  1.9601e-03	  2.2655e-07	  1.8096e-02	  1.4837e-03	  5.5778e-04	  4.6880e-04	  5.6004e+03	  7.6268e-02	  1.1184e-01	  9.7045e-03	
  7.6903e+00	  7.3408e-03	  4.4510e-04	  8.9702e-03	  1.9682e-03	  2.2449e-07	  1.8208e-02	  1.4954e-03	  5.5880e-04	  4.6540e-04	  5.6269e+03	  7.6736e-02	  1.1161e-01	  1.0033e-02	
  7.6923e+00	  7.3710e-03	  4.4600e-04	  9.0050e-03	  1.9761e-03	  2.2250e-07	  1.8316e-02	  1.5066e-03	  5.5978e-04	  4.6210e-04	  5.6525e+03	  7.7181e-02	  1.1138e-01	  1.0351e-02	
  7.6942e+00	  7.4002e-03	  4.4687e-04	  9.0386e-03	  1.9836e-03	  2.2058e-07	  1.8421e-02	  1.5174e-03	  5.6073e-04	  4.5891e-04	  5.6772e+03	  7.7606e-02	  1.1117e-01	  1.0659e-02	
  7.6962e+00	  7.4284e-03	  4.4771e-04	  9.0710e-03	  1.9910e-03	  2.1872e-07	  1.8521e-02	  1.5279e-03	  5.6165e-04	  4.5582e-04	  5.7010e+03	  7.8011e-02	  1.1097e-01	  1.0956e-02	
  7.6981e+00	  7.4556e-03	  4.4852e-04	  9.1022e-03	  1.9980e-03	  2.1692e-07	  1.8619e-02	  1.5380e-03	  5.6253e-04	  4.5283e-04	  5.7240e+03	  7.8397e-02	  1.1077e-01	  1.1243e-02	
  7.7000e+00	  7.4820e-03	  4.4930e-04	  9.1324e-03	  2.0048e-03	  2.1518e-07	  1.8713e-02	  1.5477e-03	  5.6338e-04	  4.4994e-04	  5.7462e+03	  7.8765e-02	  1.1059e-01	  1.1521e-02	
  7.7018e+00	  7.5074e-03	  4.5005e-04	  9.1615e-03	  2.0114e-03	  2.1350e-07	  1.8803e-02	  1.5571e-03	  5.6420e-04	  4.4714e-04	  5.7676e+03	  7.9117e-02	  1.1041e-01	  1.1790e-02	
  7.7036e+00	  7.5320e-03	  4.5078e-04	  9.1896e-03	  2.0177e-03	  2.1188e-07	  1.8891e-02	  1.5661e-03	  5.6499e-04	  4.4443e-04	  5.7882e+03	  7.9452e-02	  1.1025e-01	  1.2049e-02	
  7.7053e+00	  7.5557e-03	  4.5148e-04	  9.2167e-03	  2.0239e-03	  2.1031e-07	  1.8975e-02	  1.5749e-03	  5.6575e-04	  4.4181e-04	  5.8081e+03	  7.9772e-02	  1.1009e-01	  1.2300e-02	
  7.7070e+00	  7.5786e-03	  4.5215e-04	  9.2429e-03	  2.0298e-03	  2.0880e-07	  1.9057e-02	  1.5833e-03	  5.6649e-04	  4.3927e-04	  5.8273e+03	  8.0078e-02	  1.0993e-01	  1.2543e-02	
  7.7087e+00	  7.6008e-03	  4.5280e-04	  9.2681e-03	  2.0355e-03	  2.0734e-07	  1.9135e-02	  1.5914e-03	  5.6720e-04	  4.3682e-04	  5.8458e+03	  8.0370e-02	  1.0979e-01	  1.2777e-02	
  7.7103e+00	  7.6222e-03	  4.5343e-04	  9.2925e-03	  2.0410e-03	  2.0593e-07	  1.9211e-02	  1.5992e-03	  5.6789e-04	  4.3445e-04	  5.8637e+03	  8.0649e-02	  1.0965e-01	  1.3003e-02	
  7.7119e+00	  7.6429e-03	  4.5404e-04	  9.3160e-03	  2.0463e-03	  2.0457e-07	  1.9284e-02	  1.6068e-03	  5.6855e-04	  4.3217e-04	  5.8810e+03	  8.0916e-02	  1.0951e-01	  1.3222e-02	
  7.7135e+00	  7.6629e-03	  4.5462e-04	  9.3387e-03	  2.0515e-03	  2.0325e-07	  1.9355e-02	  1.6141e-03	  5.6919e-04	  4.2995e-04	  5.8976e+03	  8.1171e-02	  1.0938e-01	  1.3434e-02	
  7.7150e+00	  7.6822e-03	  4.5519e-04	  9.3607e-03	  2.0564e-03	  2.0198e-07	  1.9423e-02	  1.6212e-03	  5.6981e-04	  4.2782e-04	  5.9137e+03	  8.1415e-02	  1.0926e-01	  1.3638e-02	
  7.7165e+00	  7.7009e-03	  4.5573e-04	  9.3818e-03	  2.0612e-03	  2.0076e-07	  1.9489e-02	  1.6280e-03	  5.7040e-04	  4.2575e-04	  5.9292e+03	  8.1648e-02	  1.0915e-01	  1.3835e-02	
  7.7179e+00	  7.7189e-03	  4.5625e-04	  9.4022e-03	  2.0658e-03	  1.9958e-07	  1.9553e-02	  1.6345e-03	  5.7097e-04	  4.2375e-04	  5.9441e+03	  8.1871e-02	  1.0903e-01	  1.4026e-02	
  7.7193e+00	  7.7363e-03	  4.5676e-04	  9.4219e-03	  2.0703e-03	  1.9844e-07	  1.9614e-02	  1.6409e-03	  5.7153e-04	  4.2183e-04	  5.9586e+03	  8.2085e-02	  1.0893e-01	  1.4210e-02	
  7.7207e+00	  7.7531e-03	  4.5725e-04	  9.4409e-03	  2.0746e-03	  1.9734e-07	  1.9673e-02	  1.6470e-03	  5.7206e-04	  4.1996e-04	  5.9725e+03	  8.2290e-02	  1.0882e-01	  1.4388e-02	
  7.7220e+00	  7.7693e-03	  4.5772e-04	  9.4593e-03	  2.0787e-03	  1.9627e-07	  1.9730e-02	  1.6529e-03	  5.7258e-04	  4.1816e-04	  5.9859e+03	  8.2486e-02	  1.0873e-01	  1.4560e-02	
  7.7233e+00	  7.7850e-03	  4.5817e-04	  9.4770e-03	  2.0828e-03	  1.9525e-07	  1.9785e-02	  1.6585e-03	  5.7308e-04	  4.1643e-04	  5.9989e+03	  8.2673e-02	  1.0863e-01	  1.4726e-02	
  7.7246e+00	  7.8002e-03	  4.5861e-04	  9.4941e-03	  2.0866e-03	  1.9426e-07	  1.9839e-02	  1.6640e-03	  5.7356e-04	  4.1475e-04	  6.0114e+03	  8.2853e-02	  1.0854e-01	  1.4886e-02	
  7.7258e+00	  7.8148e-03	  4.5903e-04	  9.5106e-03	  2.0904e-03	  1.9331e-07	  1.9890e-02	  1.6693e-03	  5.7402e-04	  4.1313e-04	  6.0235e+03	  8.3025e-02	  1.0846e-01	  1.5041e-02	
  7.7270e+00	  7.8289e-03	  4.5944e-04	  9.5265e-03	  2.0940e-03	  1.9239e-07	  1.9940e-02	  1.6745e-03	  5.7447e-04	  4.1156e-04	  6.0352e+03	  8.3191e-02	  1.0837e-01	  1.5190e-02	
  7.7282e+00	  7.8426e-03	  4.5984e-04	  9.5419e-03	  2.0975e-03	  1.9150e-07	  1.9988e-02	  1.6794e-03	  5.7490e-04	  4.1005e-04	  6.0464e+03	  8.3349e-02	  1.0829e-01	  1.5335e-02	
  7.7293e+00	  7.8558e-03	  4.6022e-04	  9.5568e-03	  2.1008e-03	  1.9064e-07	  2.0034e-02	  1.6842e-03	  5.7532e-04	  4.0859e-04	  6.0573e+03	  8.3501e-02	  1.0822e-01	  1.5474e-02	
  7.7304e+00	  7.8685e-03	  4.6058e-04	  9.5711e-03	  2.1041e-03	  1.8982e-07	  2.0078e-02	  1.6888e-03	  5.7572e-04	  4.0718e-04	  6.0678e+03	  8.3647e-02	  1.0814e-01	  1.5609e-02	
  7.7314e+00	  7.8809e-03	  4.6094e-04	  9.5849e-03	  2.1072e-03	  1.8902e-07	  2.0121e-02	  1.6932e-03	  5.7611e-04	  4.0582e-04	  6.0779e+03	  8.3786e-02	  1.0807e-01	  1.5739e-02	
  7.7325e+00	  7.8927e-03	  4.6128e-04	  9.5983e-03	  2.1102e-03	  1.8825e-07	  2.0163e-02	  1.6975e-03	  5.7649e-04	  4.0451e-04	  6.0877e+03	  8.3921e-02	  1.0801e-01	  1.5865e-02	
  7.7334e+00	  7.9042e-03	  4.6161e-04	  9.6112e-03	  2.1132e-03	  1.8751e-07	  2.0203e-02	  1.7016e-03	  5.7685e-04	  4.0324e-04	  6.0971e+03	  8.4049e-02	  1.0794e-01	  1.5986e-02	
  7.7344e+00	  7.9153e-03	  4.6193e-04	  9.6236e-03	  2.1160e-03	  1.8679e-07	  2.0242e-02	  1.7056e-03	  5.7720e-04	  4.0201e-04	  6.1062e+03	  8.4173e-02	  1.0788e-01	  1.6104e-02	
  7.7354e+00	  7.9260e-03	  4.6223e-04	  9.6356e-03	  2.1187e-03	  1.8610e-07	  2.0279e-02	  1.7095e-03	  5.7754e-04	  4.0083e-04	  6.1150e+03	  8.4292e-02	  1.0782e-01	  1.6217e-02	
  7.7363e+00	  7.9364e-03	  4.6253e-04	  9.6472e-03	  2.1213e-03	  1.8543e-07	  2.0316e-02	  1.7132e-03	  5.7786e-04	  3.9969e-04	  6.1235e+03	  8.4406e-02	  1.0776e-01	  1.6326e-02	
  7.7371e+00	  7.9464e-03	  4.6282e-04	  9.6584e-03	  2.1239e-03	  1.8479e-07	  2.0350e-02	  1.7168e-03	  5.7818e-04	  3.9858e-04	  6.1317e+03	  8.4515e-02	  1.0771e-01	  1.6432e-02	
  7.7380e+00	  7.9560e-03	  4.6309e-04	  9.6693e-03	  2.1263e-03	  1.8417e-07	  2.0384e-02	  1.7202e-03	  5.7848e-04	  3.9752e-04	  6.1396e+03	  8.4620e-02	  1.0766e-01	  1.6534e-02	
  7.7388e+00	  7.9653e-03	  4.6336e-04	  9.6797e-03	  2.1287e-03	  1.8357e-07	  2.0417e-02	  1.7236e-03	  5.7878e-04	  3.9649e-04	  6.1472e+03	  8.4721e-02	  1.0761e-01	  1.6632e-02	
  7.7396e+00	  7.9743e-03	  4.6362e-04	  9.6898e-03	  2.1310e-03	  1.8299e-07	  2.0448e-02	  1.7268e-03	  5.7906e-04	  3.9550e-04	  6.1546e+03	  8.4818e-02	  1.0756e-01	  1.6727e-02	
  7.7404e+00	  7.9830e-03	  4.6386e-04	  9.6995e-03	  2.1332e-03	  1.8244e-07	  2.0478e-02	  1.7299e-03	  5.7933e-04	  3.9454e-04	  6.1617e+03	  8.4912e-02	  1.0751e-01	  1.6819e-02	
  7.7412e+00	  7.9914e-03	  4.6410e-04	  9.7089e-03	  2.1353e-03	  1.8190e-07	  2.0507e-02	  1.7330e-03	  5.7960e-04	  3.9361e-04	  6.1685e+03	  8.5001e-02	  1.0747e-01	  1.6908e-02	
  7.7419e+00	  7.9995e-03	  4.6434e-04	  9.7179e-03	  2.1374e-03	  1.8138e-07	  2.0536e-02	  1.7359e-03	  5.7985e-04	  3.9272e-04	  6.1752e+03	  8.5087e-02	  1.0742e-01	  1.6993e-02	
  7.7426e+00	  8.0074e-03	  4.6456e-04	  9.7267e-03	  2.1393e-03	  1.8088e-07	  2.0563e-02	  1.7387e-03	  5.8010e-04	  3.9186e-04	  6.1816e+03	  8.5170e-02	  1.0738e-01	  1.7076e-02	
  7.7433e+00	  8.0149e-03	  4.6477e-04	  9.7351e-03	  2.1413e-03	  1.8040e-07	  2.0589e-02	  1.7414e-03	  5.8033e-04	  3.9103e-04	  6.1877e+03	  8.5250e-02	  1.0734e-01	  1.7156e-02	
  7.7440e+00	  8.0223e-03	  4.6498e-04	  9.7433e-03	  2.1431e-03	  1.7993e-07	  2.0615e-02	  1.7440e-03	  5.8056e-04	  3.9022e-04	  6.1937e+03	  8.5327e-02	  1.0730e-01	  1.7233e-02	
  7.7446e+00	  8.0293e-03	  4.6518e-04	  9.7512e-03	  2.1449e-03	  1.7948e-07	  2.0639e-02	  1.7465e-03	  5.8079e-04	  3.8945e-04	  6.1994e+03	  8.5400e-02	  1.0727e-01	  1.7307e-02	
  7.7452e+00	  8.0361e-03	  4.6538e-04	  9.7588e-03	  2.1466e-03	  1.7905e-07	  2.0663e-02	  1.7489e-03	  5.8100e-04	  3.8870e-04	  6.2050e+03	  8.5471e-02	  1.0723e-01	  1.7379e-02	
  7.7458e+00	  8.0427e-03	  4.6556e-04	  9.7661e-03	  2.1483e-03	  1.7863e-07	  2.0686e-02	  1.7513e-03	  5.8121e-04	  3.8797e-04	  6.2104e+03	  8.5540e-02	  1.0720e-01	  1.7448e-02	
  7.7464e+00	  8.0491e-03	  4.6575e-04	  9.7732e-03	  2.1499e-03	  1.7822e-07	  2.0708e-02	  1.7536e-03	  5.8141e-04	  3.8728e-04	  6.2155e+03	  8.5605e-02	  1.0716e-01	  1.7515e-02	
  7.7470e+00	  8.0552e-03	  4.6592e-04	  9.7801e-03	  2.1514e-03	  1.7783e-07	  2.0729e-02	  1.7558e-03	  5.8160e-04	  3.8660e-04	  6.2205e+03	  8.5669e-02	  1.0713e-01	  1.7580e-02	
  7.7475e+00	  8.0611e-03	  4.6609e-04	  9.7867e-03	  2.1529e-03	  1.7746e-07	  2.0750e-02	  1.7579e-03	  5.8178e-04	  3.8595e-04	  6.2254e+03	  8.5729e-02	  1.0710e-01	  1.7643e-02	
  7.7481e+00	  8.0669e-03	  4.6625e-04	  9.7930e-03	  2.1544e-03	  1.7709e-07	  2.0770e-02	  1.7599e-03	  5.8196e-04	  3.8532e-04	  6.2300e+03	  8.5788e-02	  1.0707e-01	  1.7703e-02	
  7.7486e+00	  8.0724e-03	  4.6641e-04	  9.7992e-03	  2.1558e-03	  1.7674e-07	  2.0789e-02	  1.7619e-03	  5.8214e-04	  3.8472e-04	  6.2345e+03	  8.5844e-02	  1.0704e-01	  1.7761e-02	
  7.7491e+00	  8.0777e-03	  4.6656e-04	  9.8051e-03	  2.1571e-03	  1.7640e-07	  2.0807e-02	  1.7638e-03	  5.8230e-04	  3.8413e-04	  6.2389e+03	  8.5899e-02	  1.0702e-01	  1.7818e-02	
  7.7496e+00	  8.0829e-03	  4.6670e-04	  9.8109e-03	  2.1584e-03	  1.7608e-07	  2.0825e-02	  1.7656e-03	  5.8247e-04	  3.8357e-04	  6.2431e+03	  8.5951e-02	  1.0699e-01	  1.7872e-02	
  7.7500e+00	  8.0879e-03	  4.6685e-04	  9.8164e-03	  2.1597e-03	  1.7576e-07	  2.0842e-02	  1.7674e-03	  5.8262e-04	  3.8302e-04	  6.2471e+03	  8.6001e-02	  1.0696e-01	  1.7924e-02	
  7.7505e+00	  8.0927e-03	  4.6698e-04	  9.8218e-03	  2.1609e-03	  1.7546e-07	  2.0859e-02	  1.7691e-03	  5.8277e-04	  3.8249e-04	  6.2510e+03	  8.6050e-02	  1.0694e-01	  1.7975e-02	
  7.7509e+00	  8.0973e-03	  4.6711e-04	  9.8269e-03	  2.1621e-03	  1.7517e-07	  2.0875e-02	  1.7708e-03	  5.8292e-04	  3.8198e-04	  6.2548e+03	  8.6096e-02	  1.0692e-01	  1.8024e-02	
  7.7513e+00	  8.1018e-03	  4.6724e-04	  9.8319e-03	  2.1632e-03	  1.7488e-07	  2.0891e-02	  1.7724e-03	  5.8306e-04	  3.8149e-04	  6.2584e+03	  8.6141e-02	  1.0689e-01	  1.8071e-02	
  7.7517e+00	  8.1061e-03	  4.6736e-04	  9.8368e-03	  2.1643e-03	  1.7461e-07	  2.0906e-02	  1.7739e-03	  5.8319e-04	  3.8102e-04	  6.2619e+03	  8.6185e-02	  1.0687e-01	  1.8117e-02	
  7.7521e+00	  8.1103e-03	  4.6748e-04	  9.8414e-03	  2.1654e-03	  1.7435e-07	  2.0920e-02	  1.7754e-03	  5.8332e-04	  3.8056e-04	  6.2653e+03	  8.6226e-02	  1.0685e-01	  1.8161e-02	
  7.7525e+00	  8.1143e-03	  4.6760e-04	  9.8459e-03	  2.1664e-03	  1.7409e-07	  2.0934e-02	  1.7768e-03	  5.8345e-04	  3.8012e-04	  6.2686e+03	  8.6266e-02	  1.0683e-01	  1.8203e-02	
