          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  7.1964e+00	  1.2839e-02	  5.2447e-04	  1.7665e-03	  2.1038e-03	  7.8931e-05	  1.3523e-02	  7.0579e-04	  3.6636e-04	  7.9437e-04	  4.1918e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1967e+00	  1.2849e-02	  5.2480e-04	  1.7691e-03	  2.1069e-03	  7.8902e-05	  1.3534e-02	  7.0911e-04	  3.6659e-04	  8.0263e-04	  4.1963e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1969e+00	  1.2857e-02	  5.2512e-04	  1.7717e-03	  2.1099e-03	  7.8873e-05	  1.3544e-02	  7.1232e-04	  3.6681e-04	  8.1060e-04	  4.2006e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1971e+00	  1.2866e-02	  5.2543e-04	  1.7742e-03	  2.1129e-03	  7.8846e-05	  1.3554e-02	  7.1542e-04	  3.6702e-04	  8.1829e-04	  4.2048e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1973e+00	  1.2874e-02	  5.2573e-04	  1.7765e-03	  2.1157e-03	  7.8820e-05	  1.3564e-02	  7.1840e-04	  3.6723e-04	  8.2572e-04	  4.2088e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1975e+00	  1.2882e-02	  5.2602e-04	  1.7788e-03	  2.1185e-03	  7.8795e-05	  1.3573e-02	  7.2128e-04	  3.6742e-04	  8.3289e-04	  4.2127e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1977e+00	  1.2890e-02	  5.2629e-04	  1.7811e-03	  2.1211e-03	  7.8770e-05	  1.3582e-02	  7.2406e-04	  3.6761e-04	  8.3980e-04	  4.2164e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1978e+00	  1.2897e-02	  5.2656e-04	  1.7832e-03	  2.1237e-03	  7.8747e-05	  1.3591e-02	  7.2674e-04	  3.6780e-04	  8.4648e-04	  4.2201e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1980e+00	  1.2905e-02	  5.2682e-04	  1.7853e-03	  2.1261e-03	  7.8724e-05	  1.3600e-02	  7.2933e-04	  3.6798e-04	  8.5292e-04	  4.2236e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1982e+00	  1.2912e-02	  5.2707e-04	  1.7873e-03	  2.1285e-03	  7.8702e-05	  1.3608e-02	  7.3183e-04	  3.6815e-04	  8.5914e-04	  4.2269e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1983e+00	  1.2918e-02	  5.2731e-04	  1.7892e-03	  2.1308e-03	  7.8681e-05	  1.3616e-02	  7.3424e-04	  3.6831e-04	  8.6515e-04	  4.2302e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1985e+00	  1.2925e-02	  5.2754e-04	  1.7911e-03	  2.1330e-03	  7.8661e-05	  1.3623e-02	  7.3656e-04	  3.6847e-04	  8.7094e-04	  4.2333e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1986e+00	  1.2931e-02	  5.2777e-04	  1.7929e-03	  2.1352e-03	  7.8641e-05	  1.3630e-02	  7.3881e-04	  3.6863e-04	  8.7654e-04	  4.2364e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1988e+00	  1.2937e-02	  5.2798e-04	  1.7946e-03	  2.1372e-03	  7.8623e-05	  1.3638e-02	  7.4097e-04	  3.6877e-04	  8.8194e-04	  4.2393e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1989e+00	  1.2943e-02	  5.2819e-04	  1.7963e-03	  2.1392e-03	  7.8604e-05	  1.3644e-02	  7.4306e-04	  3.6892e-04	  8.8715e-04	  4.2421e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1991e+00	  1.2948e-02	  5.2839e-04	  1.7979e-03	  2.1412e-03	  7.8587e-05	  1.3651e-02	  7.4508e-04	  3.6906e-04	  8.9218e-04	  4.2448e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1992e+00	  1.2954e-02	  5.2859e-04	  1.7995e-03	  2.1430e-03	  7.8570e-05	  1.3657e-02	  7.4702e-04	  3.6919e-04	  8.9704e-04	  4.2475e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1993e+00	  1.2959e-02	  5.2878e-04	  1.8010e-03	  2.1448e-03	  7.8554e-05	  1.3663e-02	  7.4890e-04	  3.6932e-04	  9.0173e-04	  4.2500e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1994e+00	  1.2964e-02	  5.2896e-04	  1.8025e-03	  2.1466e-03	  7.8538e-05	  1.3669e-02	  7.5071e-04	  3.6944e-04	  9.0626e-04	  4.2525e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
