          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.3033e+00	  2.1097e-01	  4.0080e-03	  3.4167e-02	  8.4788e-03	  2.3255e-05	  2.3729e-01	  2.3300e-02	  4.3328e-04	  1.1839e-02	  5.3260e+04	  1.3940e-01	  8.0299e-02	  9.9589e-04	  2.0451e-01	  1.9325e-01	  0.0000e+00	
  6.3012e+00	  2.1253e-01	  4.0358e-03	  3.4363e-02	  8.5376e-03	  2.3376e-05	  2.3903e-01	  2.3474e-02	  4.3330e-04	  1.1880e-02	  5.3592e+04	  1.3988e-01	  8.0058e-02	  1.0393e-03	  2.0456e-01	  1.9317e-01	  0.0000e+00	
  6.2991e+00	  2.1404e-01	  4.0627e-03	  3.4552e-02	  8.5946e-03	  2.3492e-05	  2.4072e-01	  2.3642e-02	  4.3332e-04	  1.1920e-02	  5.3911e+04	  1.4034e-01	  7.9827e-02	  1.0812e-03	  2.0461e-01	  1.9309e-01	  0.0000e+00	
  6.2972e+00	  2.1550e-01	  4.0887e-03	  3.4735e-02	  8.6496e-03	  2.3606e-05	  2.4234e-01	  2.3805e-02	  4.3333e-04	  1.1958e-02	  5.4220e+04	  1.4079e-01	  7.9604e-02	  1.1215e-03	  2.0466e-01	  1.9302e-01	  0.0000e+00	
  6.2953e+00	  2.1691e-01	  4.1138e-03	  3.4911e-02	  8.7028e-03	  2.3715e-05	  2.4391e-01	  2.3962e-02	  4.3335e-04	  1.1995e-02	  5.4517e+04	  1.4122e-01	  7.9388e-02	  1.1605e-03	  2.0471e-01	  1.9294e-01	  0.0000e+00	
  6.2934e+00	  2.1828e-01	  4.1380e-03	  3.5081e-02	  8.7543e-03	  2.3821e-05	  2.4543e-01	  2.4114e-02	  4.3337e-04	  1.2031e-02	  5.4804e+04	  1.4164e-01	  7.9181e-02	  1.1980e-03	  2.0476e-01	  1.9287e-01	  0.0000e+00	
  6.2917e+00	  2.1959e-01	  4.1614e-03	  3.5245e-02	  8.8041e-03	  2.3923e-05	  2.4690e-01	  2.4260e-02	  4.3339e-04	  1.2066e-02	  5.5080e+04	  1.4204e-01	  7.8981e-02	  1.2342e-03	  2.0480e-01	  1.9281e-01	  0.0000e+00	
  6.2900e+00	  2.2086e-01	  4.1839e-03	  3.5403e-02	  8.8522e-03	  2.4022e-05	  2.4831e-01	  2.4402e-02	  4.3340e-04	  1.2099e-02	  5.5347e+04	  1.4242e-01	  7.8788e-02	  1.2691e-03	  2.0485e-01	  1.9274e-01	  0.0000e+00	
  6.2884e+00	  2.2209e-01	  4.2057e-03	  3.5556e-02	  8.8987e-03	  2.4117e-05	  2.4968e-01	  2.4538e-02	  4.3342e-04	  1.2132e-02	  5.5604e+04	  1.4279e-01	  7.8602e-02	  1.3027e-03	  2.0489e-01	  1.9268e-01	  0.0000e+00	
  6.2868e+00	  2.2327e-01	  4.2268e-03	  3.5703e-02	  8.9436e-03	  2.4210e-05	  2.5100e-01	  2.4670e-02	  4.3343e-04	  1.2163e-02	  5.5853e+04	  1.4315e-01	  7.8423e-02	  1.3352e-03	  2.0493e-01	  1.9262e-01	  0.0000e+00	
  6.2853e+00	  2.2441e-01	  4.2471e-03	  3.5846e-02	  8.9871e-03	  2.4299e-05	  2.5227e-01	  2.4798e-02	  4.3345e-04	  1.2193e-02	  5.6092e+04	  1.4350e-01	  7.8250e-02	  1.3665e-03	  2.0497e-01	  1.9256e-01	  0.0000e+00	
  6.2839e+00	  2.2552e-01	  4.2667e-03	  3.5983e-02	  9.0291e-03	  2.4385e-05	  2.5350e-01	  2.4921e-02	  4.3346e-04	  1.2222e-02	  5.6323e+04	  1.4383e-01	  7.8083e-02	  1.3967e-03	  2.0500e-01	  1.9250e-01	  0.0000e+00	
  6.2825e+00	  2.2658e-01	  4.2857e-03	  3.6116e-02	  9.0697e-03	  2.4469e-05	  2.5469e-01	  2.5039e-02	  4.3347e-04	  1.2250e-02	  5.6546e+04	  1.4415e-01	  7.7923e-02	  1.4258e-03	  2.0504e-01	  1.9245e-01	  0.0000e+00	
  6.2811e+00	  2.2761e-01	  4.3040e-03	  3.6244e-02	  9.1089e-03	  2.4550e-05	  2.5583e-01	  2.5154e-02	  4.3348e-04	  1.2277e-02	  5.6761e+04	  1.4446e-01	  7.7768e-02	  1.4539e-03	  2.0507e-01	  1.9240e-01	  0.0000e+00	
  6.2798e+00	  2.2861e-01	  4.3217e-03	  3.6367e-02	  9.1469e-03	  2.4628e-05	  2.5694e-01	  2.5265e-02	  4.3350e-04	  1.2303e-02	  5.6968e+04	  1.4476e-01	  7.7618e-02	  1.4810e-03	  2.0511e-01	  1.9235e-01	  0.0000e+00	
  6.2786e+00	  2.2957e-01	  4.3387e-03	  3.6486e-02	  9.1835e-03	  2.4703e-05	  2.5801e-01	  2.5372e-02	  4.3351e-04	  1.2329e-02	  5.7168e+04	  1.4505e-01	  7.7474e-02	  1.5071e-03	  2.0514e-01	  1.9230e-01	  0.0000e+00	
  6.2774e+00	  2.3049e-01	  4.3552e-03	  3.6602e-02	  9.2190e-03	  2.4776e-05	  2.5904e-01	  2.5475e-02	  4.3352e-04	  1.2353e-02	  5.7361e+04	  1.4533e-01	  7.7335e-02	  1.5324e-03	  2.0517e-01	  1.9225e-01	  0.0000e+00	
  6.2762e+00	  2.3139e-01	  4.3711e-03	  3.6713e-02	  9.2532e-03	  2.4846e-05	  2.6004e-01	  2.5575e-02	  4.3353e-04	  1.2377e-02	  5.7547e+04	  1.4560e-01	  7.7201e-02	  1.5567e-03	  2.0520e-01	  1.9220e-01	  0.0000e+00	
  6.2751e+00	  2.3225e-01	  4.3865e-03	  3.6820e-02	  9.2863e-03	  2.4914e-05	  2.6100e-01	  2.5671e-02	  4.3354e-04	  1.2399e-02	  5.7727e+04	  1.4585e-01	  7.7071e-02	  1.5802e-03	  2.0523e-01	  1.9216e-01	  0.0000e+00	
  6.2740e+00	  2.3309e-01	  4.4013e-03	  3.6924e-02	  9.3183e-03	  2.4980e-05	  2.6193e-01	  2.5764e-02	  4.3355e-04	  1.2421e-02	  5.7900e+04	  1.4610e-01	  7.6947e-02	  1.6028e-03	  2.0526e-01	  1.9212e-01	  0.0000e+00	
  6.2730e+00	  2.3389e-01	  4.4157e-03	  3.7024e-02	  9.3492e-03	  2.5044e-05	  2.6283e-01	  2.5853e-02	  4.3356e-04	  1.2443e-02	  5.8067e+04	  1.4634e-01	  7.6826e-02	  1.6246e-03	  2.0529e-01	  1.9208e-01	  0.0000e+00	
  6.2720e+00	  2.3467e-01	  4.4295e-03	  3.7120e-02	  9.3790e-03	  2.5105e-05	  2.6369e-01	  2.5940e-02	  4.3357e-04	  1.2463e-02	  5.8229e+04	  1.4658e-01	  7.6710e-02	  1.6457e-03	  2.0531e-01	  1.9204e-01	  0.0000e+00	
  6.2710e+00	  2.3542e-01	  4.4429e-03	  3.7213e-02	  9.4079e-03	  2.5165e-05	  2.6453e-01	  2.6024e-02	  4.3358e-04	  1.2483e-02	  5.8385e+04	  1.4680e-01	  7.6598e-02	  1.6660e-03	  2.0534e-01	  1.9200e-01	  0.0000e+00	
  6.2701e+00	  2.3615e-01	  4.4558e-03	  3.7303e-02	  9.4358e-03	  2.5222e-05	  2.6534e-01	  2.6105e-02	  4.3358e-04	  1.2502e-02	  5.8535e+04	  1.4702e-01	  7.6490e-02	  1.6856e-03	  2.0536e-01	  1.9196e-01	  0.0000e+00	
  6.2692e+00	  2.3685e-01	  4.4682e-03	  3.7390e-02	  9.4627e-03	  2.5277e-05	  2.6612e-01	  2.6183e-02	  4.3359e-04	  1.2521e-02	  5.8680e+04	  1.4723e-01	  7.6386e-02	  1.7046e-03	  2.0539e-01	  1.9193e-01	  0.0000e+00	
  6.2683e+00	  2.3752e-01	  4.4802e-03	  3.7474e-02	  9.4887e-03	  2.5331e-05	  2.6687e-01	  2.6258e-02	  4.3360e-04	  1.2538e-02	  5.8820e+04	  1.4743e-01	  7.6285e-02	  1.7228e-03	  2.0541e-01	  1.9190e-01	  0.0000e+00	
  6.2675e+00	  2.3818e-01	  4.4918e-03	  3.7555e-02	  9.5139e-03	  2.5383e-05	  2.6760e-01	  2.6331e-02	  4.3361e-04	  1.2556e-02	  5.8955e+04	  1.4762e-01	  7.6188e-02	  1.7405e-03	  2.0543e-01	  1.9186e-01	  0.0000e+00	
  6.2667e+00	  2.3881e-01	  4.5031e-03	  3.7633e-02	  9.5382e-03	  2.5433e-05	  2.6830e-01	  2.6401e-02	  4.3361e-04	  1.2572e-02	  5.9085e+04	  1.4781e-01	  7.6095e-02	  1.7575e-03	  2.0545e-01	  1.9183e-01	  0.0000e+00	
  6.2659e+00	  2.3942e-01	  4.5139e-03	  3.7708e-02	  9.5617e-03	  2.5481e-05	  2.6898e-01	  2.6469e-02	  4.3362e-04	  1.2588e-02	  5.9211e+04	  1.4799e-01	  7.6004e-02	  1.7739e-03	  2.0547e-01	  1.9180e-01	  0.0000e+00	
  6.2652e+00	  2.4000e-01	  4.5243e-03	  3.7781e-02	  9.5844e-03	  2.5528e-05	  2.6964e-01	  2.6534e-02	  4.3363e-04	  1.2604e-02	  5.9333e+04	  1.4816e-01	  7.5917e-02	  1.7897e-03	  2.0549e-01	  1.9177e-01	  0.0000e+00	
  6.2645e+00	  2.4057e-01	  4.5344e-03	  3.7851e-02	  9.6063e-03	  2.5573e-05	  2.7027e-01	  2.6597e-02	  4.3363e-04	  1.2619e-02	  5.9450e+04	  1.4833e-01	  7.5833e-02	  1.8050e-03	  2.0551e-01	  1.9174e-01	  0.0000e+00	
  6.2638e+00	  2.4112e-01	  4.5442e-03	  3.7919e-02	  9.6274e-03	  2.5616e-05	  2.7088e-01	  2.6659e-02	  4.3364e-04	  1.2633e-02	  5.9563e+04	  1.4849e-01	  7.5752e-02	  1.8197e-03	  2.0553e-01	  1.9172e-01	  0.0000e+00	
  6.2631e+00	  2.4165e-01	  4.5536e-03	  3.7985e-02	  9.6479e-03	  2.5659e-05	  2.7147e-01	  2.6718e-02	  4.3365e-04	  1.2647e-02	  5.9672e+04	  1.4865e-01	  7.5673e-02	  1.8339e-03	  2.0555e-01	  1.9169e-01	  0.0000e+00	
  6.2625e+00	  2.4216e-01	  4.5627e-03	  3.8048e-02	  9.6676e-03	  2.5699e-05	  2.7204e-01	  2.6774e-02	  4.3365e-04	  1.2661e-02	  5.9777e+04	  1.4880e-01	  7.5598e-02	  1.8477e-03	  2.0556e-01	  1.9166e-01	  0.0000e+00	
  6.2619e+00	  2.4265e-01	  4.5715e-03	  3.8109e-02	  9.6867e-03	  2.5739e-05	  2.7259e-01	  2.6829e-02	  4.3366e-04	  1.2674e-02	  5.9879e+04	  1.4895e-01	  7.5525e-02	  1.8609e-03	  2.0558e-01	  1.9164e-01	  0.0000e+00	
  6.2613e+00	  2.4313e-01	  4.5800e-03	  3.8168e-02	  9.7052e-03	  2.5777e-05	  2.7312e-01	  2.6883e-02	  4.3366e-04	  1.2687e-02	  5.9977e+04	  1.4909e-01	  7.5454e-02	  1.8737e-03	  2.0559e-01	  1.9162e-01	  0.0000e+00	
  6.2607e+00	  2.4359e-01	  4.5881e-03	  3.8225e-02	  9.7230e-03	  2.5813e-05	  2.7363e-01	  2.6934e-02	  4.3367e-04	  1.2699e-02	  6.0072e+04	  1.4922e-01	  7.5386e-02	  1.8861e-03	  2.0561e-01	  1.9159e-01	  0.0000e+00	
  6.2601e+00	  2.4403e-01	  4.5960e-03	  3.8280e-02	  9.7402e-03	  2.5849e-05	  2.7413e-01	  2.6983e-02	  4.3367e-04	  1.2711e-02	  6.0163e+04	  1.4936e-01	  7.5321e-02	  1.8980e-03	  2.0562e-01	  1.9157e-01	  0.0000e+00	
  6.2596e+00	  2.4446e-01	  4.6037e-03	  3.8333e-02	  9.7568e-03	  2.5883e-05	  2.7460e-01	  2.7031e-02	  4.3368e-04	  1.2722e-02	  6.0252e+04	  1.4948e-01	  7.5258e-02	  1.9095e-03	  2.0564e-01	  1.9155e-01	  0.0000e+00	
