          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  7.1907e+00	  1.2242e-02	  5.0273e-04	  1.5976e-03	  1.9025e-03	  8.1050e-05	  1.2832e-02	  4.8135e-04	  3.5145e-04	  2.5437e-04	  3.8996e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1916e+00	  1.2259e-02	  5.0333e-04	  1.6022e-03	  1.9079e-03	  8.0996e-05	  1.2851e-02	  4.8727e-04	  3.5187e-04	  2.6909e-04	  3.9076e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1925e+00	  1.2274e-02	  5.0390e-04	  1.6065e-03	  1.9132e-03	  8.0944e-05	  1.2869e-02	  4.9298e-04	  3.5227e-04	  2.8329e-04	  3.9153e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1933e+00	  1.2290e-02	  5.0446e-04	  1.6108e-03	  1.9182e-03	  8.0894e-05	  1.2887e-02	  4.9848e-04	  3.5265e-04	  2.9699e-04	  3.9227e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1941e+00	  1.2304e-02	  5.0499e-04	  1.6149e-03	  1.9231e-03	  8.0846e-05	  1.2904e-02	  5.0378e-04	  3.5302e-04	  3.1021e-04	  3.9299e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1949e+00	  1.2319e-02	  5.0551e-04	  1.6188e-03	  1.9278e-03	  8.0800e-05	  1.2920e-02	  5.0889e-04	  3.5338e-04	  3.2296e-04	  3.9368e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1957e+00	  1.2332e-02	  5.0601e-04	  1.6226e-03	  1.9323e-03	  8.0756e-05	  1.2936e-02	  5.1382e-04	  3.5373e-04	  3.3527e-04	  3.9435e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1964e+00	  1.2346e-02	  5.0649e-04	  1.6263e-03	  1.9367e-03	  8.0713e-05	  1.2951e-02	  5.1857e-04	  3.5406e-04	  3.4715e-04	  3.9499e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1971e+00	  1.2358e-02	  5.0695e-04	  1.6299e-03	  1.9409e-03	  8.0672e-05	  1.2966e-02	  5.2315e-04	  3.5438e-04	  3.5861e-04	  3.9561e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1978e+00	  1.2371e-02	  5.0740e-04	  1.6333e-03	  1.9450e-03	  8.0632e-05	  1.2980e-02	  5.2757e-04	  3.5469e-04	  3.6967e-04	  3.9621e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
