"","pH","Na","K","Ca","Mg","PO4","Cl","SO4","NH4","HCO3","sc","exchanger"
"13",0.0403619539900095,1.77484022509593,2.39934504966352,-1.06641673683753,-0.412575209162121,-1.44473451707181,0.731429467302411,0.804591543114774,-2.77905076890817,0.895809511812877,0.689954854536419,"no_Buffer"
"14",0.0432680248541837,1.74963954915531,2.36621481008645,-1.1044432089789,-0.414814346934,-1.47499955449943,0.699063206862663,0.766416586645828,-2.86906813713383,0.850680618759063,0.663673313975126,"no_Buffer"
"15",0.0464407651463463,1.7252054465787,2.33416787961162,-1.13931806493035,-0.416076816403236,-1.50336731310937,0.66950997180902,0.731974822983512,-2.95197976281222,0.810242952436193,0.639380587407562,"no_Buffer"
"16",0.0498749063657891,1.7015066852089,2.30318353307813,-1.17153494959481,-0.41666777869897,-1.53022183365841,0.642405876942082,0.700677450357402,-3.02882467615627,0.773811905901066,0.617032565053677,"no_Buffer"
"31",0.00252415357060731,0.225293559883317,0.488070788813687,-0.100358632453333,-0.0396657256908144,0.009724719827787,0.00605933054760666,0.0159641350549462,-0.0785296438010592,0.00637174552930375,0.0103362132164397,"no_CEC"
"41",0.0051311358910151,0.381676872510216,0.75709568508764,-0.191026923154522,-0.0636975783571847,0.0167868978521906,0.0101523714640184,0.0266610136678374,-0.143337784328992,0.0115428799917243,0.0182910362558788,"no_CEC"
"51",0.00736783240065875,0.49453147635387,0.929768332689371,-0.270721201212826,-0.082112341553124,0.0217741686621462,0.0128286148834542,0.0337042600854964,-0.202487089941503,0.0151424753730556,0.0243849087286154,"no_CEC"
"61",0.00933083398906565,0.579546896894946,1.04989712918651,-0.341729902010223,-0.0964172332074709,0.0252805754397141,0.0145908733554938,0.0382962850772799,-0.25700200303596,0.0176587943769952,0.0291802191759789,"no_CEC"
"71",0.0110919532953415,0.645494185983251,1.13763615203569,-0.405647615700043,-0.10774384636182,0.0277978208692673,0.0157724262452961,0.0414766107403119,-0.307575911637107,0.0193682122865919,0.0330021856047598,"no_CEC"
"81",0.0127024453220024,0.69771961775096,1.20359389444512,-0.463768053085011,-0.11668936244626,0.0295357633742963,0.0164848140074358,0.0433504408736143,-0.354833270650814,0.0205263777429368,0.0361562196338472,"no_CEC"
"91",0.0141957777360799,0.739670023933255,1.25422989194464,-0.516949104929887,-0.12393183995864,0.0307782822579998,0.0169393986053659,0.044585549688426,-0.399194394967328,0.021260462260015,0.0387272413283313,"no_CEC"
"101",0.0155898651783068,0.773714661987086,1.29365654607501,-0.565959276660745,-0.129737615828507,0.0316159578882882,0.0172299906127829,0.0452581357428388,-0.440976845101816,0.021709713049086,0.040926534220576,"no_CEC"
"111",0.0169151249153412,0.801593697561654,1.32453651984834,-0.611370603993942,-0.134483359466611,0.0322421077405881,0.0172853535595938,0.0455095693180336,-0.480554035984774,0.0219644824850134,0.042753539812324,"no_CEC"
"121",0.018159482772182,0.824553616654786,1.34881283285172,-0.653639829953304,-0.138335446538174,0.0326818600410803,0.017311096900166,0.045488657342946,-0.51807665084314,0.0220279365411749,0.0443141314068427,"no_CEC"
"131",0.0193518793345695,0.843516440510384,1.36792494015104,-0.693186366280673,-0.141474092888169,0.0330117792128757,0.0171768829511856,0.045312410915253,-0.553789095407699,0.0219962423982043,0.0456383795082349,"no_CEC"
"141",0.0205206300715408,0.859228677703629,1.38288769151718,-0.730274775102239,-0.144003151294861,0.0332299219015972,0.0170589378506962,0.0448887060464456,-0.587831770353468,0.0217978680500668,0.0468006162548846,"no_CEC"
"151",0.0216255960266225,0.872226649341394,1.39450632416041,-0.765113186301916,-0.146098345786884,0.0334233843514795,0.0168712340790655,0.0444068480207571,-0.62042312156103,0.0216070046975751,0.0478137316210336,"no_CEC"
"161",0.0227083057566628,0.882889026068597,1.40333535698858,-0.798103737416076,-0.147774623843948,0.033643778540851,0.0166156027131992,0.0438564571766662,-0.651610278551557,0.0214160530358187,0.0486700107349982,"no_CEC"
"32",0.00123282332119046,0.00215872130582184,0.00216925706692628,0.00484619574675005,0.00485948959853744,-0.0166531078500611,0.0154391772498563,0.0354008352489288,0.00215237565481718,0.0456754209900918,0.00907948760627431,"no_Hfo"
"42",0.00100760154923396,0.00374740905448689,0.0037480652006332,0.00830390262684499,0.00828132002845727,-0.0187970105916317,0.0210131895988166,0.0383682567900445,0.00371018605494378,0.0438379298167373,0.0134728785760982,"no_Hfo"
"52",0.000819708171255096,0.00487819734163697,0.00488661972430826,0.0107410253136067,0.0106803894288969,-0.0210329904084627,0.0232935157950589,0.0377568261132559,0.00481859764048131,0.0415653014616737,0.0157780618501384,"no_Hfo"
"62",0.000680759870150149,0.00567730519384479,0.00570569230688189,0.012421359798747,0.0123477319044811,-0.0233381324865523,0.0241789316549843,0.0363392540336065,0.00559904122742783,0.0394553775563269,0.0169903370775817,"no_Hfo"
"72",0.000574028114437741,0.00627025223609579,0.00629008484150351,0.0136126251241722,0.0135156622480412,-0.0256826737250098,0.0244686583542579,0.0348925292523727,0.00614532992845351,0.0375459482682441,0.0176204955471739,"no_Hfo"
"82",0.000483889341105215,0.00670556448457038,0.00672068376981461,0.014414578844435,0.0143410573434108,-0.0281349838563756,0.0242954062695686,0.0334198726710131,0.00653430942123201,0.0358226966906097,0.0179275984297291,"no_Hfo"
