          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  7.1112e+00	  8.5703e-03	  4.8351e-04	  1.0007e-02	  2.2195e-03	  1.4417e-06	  2.1347e-02	  1.8190e-03	  5.6879e-04	  9.5390e-04	  6.4390e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1112e+00	  8.5706e-03	  4.8352e-04	  1.0007e-02	  2.2196e-03	  1.4418e-06	  2.1348e-02	  1.8191e-03	  5.6880e-04	  9.5397e-04	  6.4393e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1112e+00	  8.5710e-03	  4.8354e-04	  1.0008e-02	  2.2197e-03	  1.4419e-06	  2.1349e-02	  1.8192e-03	  5.6880e-04	  9.5403e-04	  6.4396e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1111e+00	  8.5714e-03	  4.8355e-04	  1.0008e-02	  2.2198e-03	  1.4421e-06	  2.1350e-02	  1.8193e-03	  5.6881e-04	  9.5410e-04	  6.4399e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1111e+00	  8.5717e-03	  4.8356e-04	  1.0009e-02	  2.2199e-03	  1.4422e-06	  2.1351e-02	  1.8194e-03	  5.6882e-04	  9.5416e-04	  6.4401e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1111e+00	  8.5721e-03	  4.8357e-04	  1.0009e-02	  2.2200e-03	  1.4423e-06	  2.1353e-02	  1.8195e-03	  5.6883e-04	  9.5422e-04	  6.4404e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1110e+00	  8.5724e-03	  4.8358e-04	  1.0009e-02	  2.2200e-03	  1.4424e-06	  2.1354e-02	  1.8196e-03	  5.6884e-04	  9.5428e-04	  6.4407e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1110e+00	  8.5727e-03	  4.8359e-04	  1.0010e-02	  2.2201e-03	  1.4425e-06	  2.1355e-02	  1.8197e-03	  5.6884e-04	  9.5434e-04	  6.4409e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1110e+00	  8.5730e-03	  4.8359e-04	  1.0010e-02	  2.2202e-03	  1.4426e-06	  2.1355e-02	  1.8198e-03	  5.6885e-04	  9.5440e-04	  6.4411e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1110e+00	  8.5733e-03	  4.8360e-04	  1.0010e-02	  2.2202e-03	  1.4427e-06	  2.1356e-02	  1.8199e-03	  5.6886e-04	  9.5445e-04	  6.4414e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1109e+00	  8.5736e-03	  4.8361e-04	  1.0010e-02	  2.2203e-03	  1.4428e-06	  2.1357e-02	  1.8200e-03	  5.6886e-04	  9.5450e-04	  6.4416e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1109e+00	  8.5738e-03	  4.8362e-04	  1.0011e-02	  2.2204e-03	  1.4429e-06	  2.1358e-02	  1.8201e-03	  5.6887e-04	  9.5455e-04	  6.4418e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1109e+00	  8.5741e-03	  4.8363e-04	  1.0011e-02	  2.2204e-03	  1.4430e-06	  2.1359e-02	  1.8202e-03	  5.6888e-04	  9.5460e-04	  6.4420e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1109e+00	  8.5744e-03	  4.8363e-04	  1.0011e-02	  2.2205e-03	  1.4431e-06	  2.1360e-02	  1.8203e-03	  5.6888e-04	  9.5465e-04	  6.4422e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
