          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  5.8455e+00	  6.3301e-01	  1.1493e-02	  7.1888e-02	  3.9812e-02	  1.1200e-04	  7.0511e-01	  7.0082e-02	  4.2882e-04	  3.4151e-02	  1.2970e+05	  8.9465e-02	  1.0525e-01	  5.8629e-03	
  5.8454e+00	  6.3317e-01	  1.1496e-02	  7.1902e-02	  3.9824e-02	  1.1203e-04	  7.0528e-01	  7.0100e-02	  4.2883e-04	  3.4156e-02	  1.2973e+05	  8.9463e-02	  1.0525e-01	  5.8612e-03	
  5.8453e+00	  6.3332e-01	  1.1498e-02	  7.1915e-02	  3.9835e-02	  1.1205e-04	  7.0545e-01	  7.0116e-02	  4.2883e-04	  3.4161e-02	  1.2975e+05	  8.9461e-02	  1.0525e-01	  5.8596e-03	
  5.8452e+00	  6.3346e-01	  1.1501e-02	  7.1928e-02	  3.9846e-02	  1.1208e-04	  7.0561e-01	  7.0133e-02	  4.2883e-04	  3.4166e-02	  1.2977e+05	  8.9460e-02	  1.0525e-01	  5.8580e-03	
  5.8451e+00	  6.3361e-01	  1.1503e-02	  7.1940e-02	  3.9857e-02	  1.1210e-04	  7.0577e-01	  7.0148e-02	  4.2883e-04	  3.4171e-02	  1.2980e+05	  8.9458e-02	  1.0525e-01	  5.8564e-03	
  5.8450e+00	  6.3374e-01	  1.1506e-02	  7.1952e-02	  3.9867e-02	  1.1212e-04	  7.0592e-01	  7.0164e-02	  4.2883e-04	  3.4176e-02	  1.2982e+05	  8.9456e-02	  1.0525e-01	  5.8549e-03	
  5.8449e+00	  6.3388e-01	  1.1508e-02	  7.1963e-02	  3.9876e-02	  1.1215e-04	  7.0607e-01	  7.0178e-02	  4.2883e-04	  3.4181e-02	  1.2984e+05	  8.9454e-02	  1.0525e-01	  5.8534e-03	
  5.8449e+00	  6.3400e-01	  1.1511e-02	  7.1975e-02	  3.9886e-02	  1.1217e-04	  7.0621e-01	  7.0193e-02	  4.2883e-04	  3.4185e-02	  1.2986e+05	  8.9453e-02	  1.0526e-01	  5.8520e-03	
  5.8448e+00	  6.3413e-01	  1.1513e-02	  7.1985e-02	  3.9895e-02	  1.1219e-04	  7.0635e-01	  7.0206e-02	  4.2883e-04	  3.4189e-02	  1.2988e+05	  8.9451e-02	  1.0526e-01	  5.8507e-03	
  5.8447e+00	  6.3424e-01	  1.1515e-02	  7.1996e-02	  3.9904e-02	  1.1221e-04	  7.0648e-01	  7.0219e-02	  4.2883e-04	  3.4193e-02	  1.2990e+05	  8.9449e-02	  1.0526e-01	  5.8494e-03	
  5.8447e+00	  6.3436e-01	  1.1517e-02	  7.2006e-02	  3.9912e-02	  1.1223e-04	  7.0661e-01	  7.0232e-02	  4.2883e-04	  3.4197e-02	  1.2992e+05	  8.9448e-02	  1.0526e-01	  5.8481e-03	
  5.8446e+00	  6.3447e-01	  1.1519e-02	  7.2015e-02	  3.9920e-02	  1.1225e-04	  7.0673e-01	  7.0245e-02	  4.2883e-04	  3.4201e-02	  1.2993e+05	  8.9447e-02	  1.0526e-01	  5.8469e-03	
  5.8445e+00	  6.3458e-01	  1.1521e-02	  7.2025e-02	  3.9928e-02	  1.1227e-04	  7.0685e-01	  7.0256e-02	  4.2883e-04	  3.4205e-02	  1.2995e+05	  8.9445e-02	  1.0526e-01	  5.8457e-03	
  5.8445e+00	  6.3468e-01	  1.1523e-02	  7.2034e-02	  3.9936e-02	  1.1228e-04	  7.0697e-01	  7.0268e-02	  4.2883e-04	  3.4208e-02	  1.2997e+05	  8.9444e-02	  1.0526e-01	  5.8445e-03	
  5.8444e+00	  6.3478e-01	  1.1524e-02	  7.2042e-02	  3.9943e-02	  1.1230e-04	  7.0708e-01	  7.0279e-02	  4.2883e-04	  3.4212e-02	  1.2998e+05	  8.9443e-02	  1.0526e-01	  5.8434e-03	
  5.8444e+00	  6.3488e-01	  1.1526e-02	  7.2051e-02	  3.9950e-02	  1.1232e-04	  7.0718e-01	  7.0290e-02	  4.2883e-04	  3.4215e-02	  1.3000e+05	  8.9441e-02	  1.0526e-01	  5.8423e-03	
  5.8443e+00	  6.3497e-01	  1.1528e-02	  7.2059e-02	  3.9957e-02	  1.1233e-04	  7.0729e-01	  7.0300e-02	  4.2883e-04	  3.4218e-02	  1.3001e+05	  8.9440e-02	  1.0526e-01	  5.8413e-03	
  5.8442e+00	  6.3506e-01	  1.1529e-02	  7.2067e-02	  3.9964e-02	  1.1235e-04	  7.0739e-01	  7.0310e-02	  4.2883e-04	  3.4221e-02	  1.3003e+05	  8.9439e-02	  1.0526e-01	  5.8403e-03	
  5.8442e+00	  6.3515e-01	  1.1531e-02	  7.2074e-02	  3.9970e-02	  1.1236e-04	  7.0748e-01	  7.0320e-02	  4.2883e-04	  3.4224e-02	  1.3004e+05	  8.9438e-02	  1.0526e-01	  5.8393e-03	
  5.8441e+00	  6.3523e-01	  1.1532e-02	  7.2082e-02	  3.9977e-02	  1.1238e-04	  7.0758e-01	  7.0329e-02	  4.2883e-04	  3.4227e-02	  1.3005e+05	  8.9437e-02	  1.0526e-01	  5.8384e-03	
  5.8441e+00	  6.3531e-01	  1.1534e-02	  7.2089e-02	  3.9983e-02	  1.1239e-04	  7.0767e-01	  7.0338e-02	  4.2883e-04	  3.4230e-02	  1.3007e+05	  8.9436e-02	  1.0526e-01	  5.8374e-03	
  5.8440e+00	  6.3539e-01	  1.1535e-02	  7.2095e-02	  3.9988e-02	  1.1241e-04	  7.0775e-01	  7.0347e-02	  4.2883e-04	  3.4233e-02	  1.3008e+05	  8.9435e-02	  1.0526e-01	  5.8366e-03	
  5.8440e+00	  6.3547e-01	  1.1536e-02	  7.2102e-02	  3.9994e-02	  1.1242e-04	  7.0784e-01	  7.0355e-02	  4.2883e-04	  3.4235e-02	  1.3009e+05	  8.9434e-02	  1.0527e-01	  5.8357e-03	
  5.8440e+00	  6.3554e-01	  1.1538e-02	  7.2108e-02	  3.9999e-02	  1.1243e-04	  7.0792e-01	  7.0363e-02	  4.2883e-04	  3.4238e-02	  1.3010e+05	  8.9433e-02	  1.0527e-01	  5.8349e-03	
