          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  7.0018e+00	  9.4979e-03	  5.4581e-04	  1.3799e-02	  3.0085e-03	  1.6436e-06	  2.9483e-02	  2.6281e-03	  6.5726e-04	  1.9241e-03	  8.4541e+03	  0.0000e+00	  1.4998e-01	  8.1056e-02	
  6.9989e+00	  9.5314e-03	  5.4689e-04	  1.3852e-02	  3.0201e-03	  1.6565e-06	  2.9619e-02	  2.6417e-03	  6.5830e-04	  1.9343e-03	  8.4865e+03	  0.0000e+00	  1.4998e-01	  8.0964e-02	
  6.9961e+00	  9.5637e-03	  5.4794e-04	  1.3903e-02	  3.0312e-03	  1.6691e-06	  2.9750e-02	  2.6550e-03	  6.5930e-04	  1.9442e-03	  8.5178e+03	  0.0000e+00	  1.4998e-01	  8.0875e-02	
  6.9934e+00	  9.5950e-03	  5.4895e-04	  1.3952e-02	  3.0420e-03	  1.6812e-06	  2.9877e-02	  2.6677e-03	  6.6026e-04	  1.9538e-03	  8.5480e+03	  0.0000e+00	  1.4998e-01	  8.0787e-02	
  6.9908e+00	  9.6252e-03	  5.4992e-04	  1.3999e-02	  3.0524e-03	  1.6930e-06	  2.9999e-02	  2.6800e-03	  6.6119e-04	  1.9631e-03	  8.5772e+03	  0.0000e+00	  1.4998e-01	  8.0702e-02	
  6.9883e+00	  9.6543e-03	  5.5086e-04	  1.4045e-02	  3.0624e-03	  1.7044e-06	  3.0117e-02	  2.6919e-03	  6.6209e-04	  1.9721e-03	  8.6053e+03	  0.0000e+00	  1.4998e-01	  8.0620e-02	
  6.9859e+00	  9.6825e-03	  5.5177e-04	  1.4089e-02	  3.0721e-03	  1.7155e-06	  3.0231e-02	  2.7034e-03	  6.6295e-04	  1.9808e-03	  8.6324e+03	  0.0000e+00	  1.4998e-01	  8.0539e-02	
  6.9836e+00	  9.7097e-03	  5.5264e-04	  1.4132e-02	  3.0815e-03	  1.7262e-06	  3.0341e-02	  2.7144e-03	  6.6378e-04	  1.9892e-03	  8.6586e+03	  0.0000e+00	  1.4998e-01	  8.0461e-02	
  6.9813e+00	  9.7360e-03	  5.5349e-04	  1.4173e-02	  3.0905e-03	  1.7366e-06	  3.0448e-02	  2.7251e-03	  6.6458e-04	  1.9973e-03	  8.6839e+03	  0.0000e+00	  1.4998e-01	  8.0385e-02	
  6.9792e+00	  9.7614e-03	  5.5430e-04	  1.4213e-02	  3.0993e-03	  1.7467e-06	  3.0550e-02	  2.7354e-03	  6.6536e-04	  2.0051e-03	  8.7082e+03	  0.0000e+00	  1.4998e-01	  8.0311e-02	
  6.9771e+00	  9.7859e-03	  5.5509e-04	  1.4251e-02	  3.1077e-03	  1.7564e-06	  3.0649e-02	  2.7454e-03	  6.6610e-04	  2.0127e-03	  8.7318e+03	  0.0000e+00	  1.4998e-01	  8.0239e-02	
  6.9752e+00	  9.8096e-03	  5.5584e-04	  1.4288e-02	  3.1158e-03	  1.7658e-06	  3.0745e-02	  2.7550e-03	  6.6682e-04	  2.0201e-03	  8.7545e+03	  0.0000e+00	  1.4998e-01	  8.0169e-02	
  6.9733e+00	  9.8325e-03	  5.5657e-04	  1.4324e-02	  3.1237e-03	  1.7750e-06	  3.0837e-02	  2.7643e-03	  6.6751e-04	  2.0271e-03	  8.7764e+03	  0.0000e+00	  1.4998e-01	  8.0101e-02	
  6.9714e+00	  9.8546e-03	  5.5728e-04	  1.4359e-02	  3.1313e-03	  1.7838e-06	  3.0926e-02	  2.7732e-03	  6.6818e-04	  2.0340e-03	  8.7976e+03	  0.0000e+00	  1.4998e-01	  8.0036e-02	
  6.9697e+00	  9.8760e-03	  5.5796e-04	  1.4392e-02	  3.1386e-03	  1.7924e-06	  3.1012e-02	  2.7819e-03	  6.6883e-04	  2.0406e-03	  8.8180e+03	  0.0000e+00	  1.4998e-01	  7.9972e-02	
  6.9680e+00	  9.8966e-03	  5.5862e-04	  1.4424e-02	  3.1457e-03	  1.8007e-06	  3.1095e-02	  2.7902e-03	  6.6945e-04	  2.0470e-03	  8.8377e+03	  0.0000e+00	  1.4998e-01	  7.9910e-02	
  6.9663e+00	  9.9166e-03	  5.5925e-04	  1.4456e-02	  3.1525e-03	  1.8087e-06	  3.1176e-02	  2.7983e-03	  6.7005e-04	  2.0532e-03	  8.8568e+03	  0.0000e+00	  1.4998e-01	  7.9850e-02	
  6.9647e+00	  9.9358e-03	  5.5986e-04	  1.4486e-02	  3.1591e-03	  1.8165e-06	  3.1253e-02	  2.8061e-03	  6.7062e-04	  2.0592e-03	  8.8751e+03	  0.0000e+00	  1.4998e-01	  7.9791e-02	
  6.9632e+00	  9.9544e-03	  5.6045e-04	  1.4515e-02	  3.1655e-03	  1.8240e-06	  3.1328e-02	  2.8136e-03	  6.7118e-04	  2.0650e-03	  8.8929e+03	  0.0000e+00	  1.4998e-01	  7.9735e-02	
  6.9617e+00	  9.9724e-03	  5.6102e-04	  1.4543e-02	  3.1716e-03	  1.8313e-06	  3.1400e-02	  2.8208e-03	  6.7172e-04	  2.0706e-03	  8.9100e+03	  0.0000e+00	  1.4998e-01	  7.9680e-02	
  6.9603e+00	  9.9897e-03	  5.6157e-04	  1.4570e-02	  3.1775e-03	  1.8384e-06	  3.1470e-02	  2.8278e-03	  6.7224e-04	  2.0760e-03	  8.9265e+03	  0.0000e+00	  1.4998e-01	  7.9627e-02	
  6.9590e+00	  1.0006e-02	  5.6210e-04	  1.4596e-02	  3.1833e-03	  1.8452e-06	  3.1537e-02	  2.8346e-03	  6.7274e-04	  2.0812e-03	  8.9424e+03	  0.0000e+00	  1.4998e-01	  7.9576e-02	
  6.9577e+00	  1.0023e-02	  5.6261e-04	  1.4621e-02	  3.1888e-03	  1.8518e-06	  3.1602e-02	  2.8411e-03	  6.7322e-04	  2.0863e-03	  8.9578e+03	  0.0000e+00	  1.4998e-01	  7.9526e-02	
  6.9564e+00	  1.0038e-02	  5.6310e-04	  1.4645e-02	  3.1941e-03	  1.8581e-06	  3.1665e-02	  2.8474e-03	  6.7368e-04	  2.0912e-03	  8.9727e+03	  0.0000e+00	  1.4998e-01	  7.9477e-02	
  6.9552e+00	  1.0053e-02	  5.6358e-04	  1.4669e-02	  3.1993e-03	  1.8643e-06	  3.1725e-02	  2.8535e-03	  6.7413e-04	  2.0959e-03	  8.9870e+03	  0.0000e+00	  1.4998e-01	  7.9431e-02	
  6.9540e+00	  1.0068e-02	  5.6404e-04	  1.4692e-02	  3.2043e-03	  1.8703e-06	  3.1784e-02	  2.8594e-03	  6.7456e-04	  2.1004e-03	  9.0009e+03	  0.0000e+00	  1.4998e-01	  7.9385e-02	
  6.9529e+00	  1.0082e-02	  5.6448e-04	  1.4713e-02	  3.2091e-03	  1.8761e-06	  3.1840e-02	  2.8650e-03	  6.7498e-04	  2.1048e-03	  9.0142e+03	  0.0000e+00	  1.4998e-01	  7.9341e-02	
  6.9518e+00	  1.0096e-02	  5.6491e-04	  1.4735e-02	  3.2137e-03	  1.8816e-06	  3.1895e-02	  2.8705e-03	  6.7538e-04	  2.1091e-03	  9.0271e+03	  0.0000e+00	  1.4998e-01	  7.9299e-02	
  6.9507e+00	  1.0109e-02	  5.6532e-04	  1.4755e-02	  3.2182e-03	  1.8870e-06	  3.1947e-02	  2.8758e-03	  6.7577e-04	  2.1132e-03	  9.0396e+03	  0.0000e+00	  1.4998e-01	  7.9258e-02	
  6.9497e+00	  1.0121e-02	  5.6572e-04	  1.4775e-02	  3.2225e-03	  1.8923e-06	  3.1998e-02	  2.8809e-03	  6.7615e-04	  2.1171e-03	  9.0516e+03	  0.0000e+00	  1.4998e-01	  7.9218e-02	
  6.9487e+00	  1.0134e-02	  5.6611e-04	  1.4794e-02	  3.2267e-03	  1.8973e-06	  3.2047e-02	  2.8858e-03	  6.7651e-04	  2.1210e-03	  9.0632e+03	  0.0000e+00	  1.4998e-01	  7.9179e-02	
  6.9478e+00	  1.0146e-02	  5.6648e-04	  1.4812e-02	  3.2307e-03	  1.9022e-06	  3.2094e-02	  2.8906e-03	  6.7686e-04	  2.1247e-03	  9.0744e+03	  0.0000e+00	  1.4998e-01	  7.9142e-02	
